1,мальчик под столом стоит,устулукьи зуди вугъий мочiи,кьи,SUB,ESS,-
2,мальчик под столом стоит,вошо устулукьи зуди вугъий,кьи,SUB,ESS,-
3,мальчик под столом стоит,устулукьи вугъий,кьи,SUB,ESS,-
4,мальчик из-под стола вылез,устулукьикку лъиби мочiи,кьи-кку,SUB,ELAT,-
5,мальчик из-под стола вылез,вошо устулулъи хикьукку вулъи,кьи-кку,SUB,ELAT,хикьу
6,мальчик из-под стола вылез,мальчик устулукьикку вулъи,кьи-кку,SUB,ELAT,-
7,мальчик от меня под стол уполз,дичiу кодуку лъиби устулукьи,кьи,SUB,LAT,-
8,мальчик от меня под стол уполз,дичуку мочи устулукьи вуон,кьи,SUB,LAT,-
9,мальчик от меня под стол уполз,мальчик вуон устулукьи курщищой,кьи,SUB,LAT,-
10,мальчик под столом пролез,устулукьику вулъи,кьи-кку,SUB,ELAT,-
11,мальчик под столом пролез,мочи устулулъи хикьуку вуон,кьи-кку,SUB,ELAT,хикьу
12,на столе стоит тарелка,устулуа тарелка,а,SUPER,ESS,-
13,на столе стоит тарелка,устулуа гьиъа тарелка,а,SUPER,ESS,-
14,на столе стоит тарелка,устулуа тарелка,а,SUPER,ESS,-
15,мать поставилa на стол хинкал,бабади бикiолъи тарелка устулуа,а,SUPER,ESS,-
16,мать поставилa на стол хинкал,бабади хинкiилол устулуа бокъолъи,а,SUPER,ESS,-
17,мать поставилa на стол хинкал,бабади устулуа боколъи хинк!илол,а,SUPER,ESS,-
18,мать убрала хинкал со стола,бабади бухи тарелка устулуакку,а-кку,SUPER,ELAT,-
19,мать убрала хинкал со стола,бабади хинкилол устулуакку буху,а-кку,SUPER,ELAT,-
20,мать убрала хинкал со стола,мочишди бохий устулуакку хинкилол,а-кку,SUPER,ELAT,-
21,тарелка упала вниз со стола и разбилась,устулуакку букуй бихъин тарелка,а-кку,SUPER,ELAT,-
22,тарелка упала вниз со стола и разбилась,устулуакку рукуй тарелка рихьи,а-кку,SUPER,ELAT,-
