1,мальчик под столом пролез
2,расул залез на камень
3,я убрал шкаф от стены
4,взять тарелку со стола
5,мать суп в кастрюлю налила
6,расул перелез через камень
7,мальчик из-под стола вылез
8,пальто висит на стене
9,поставь тарелку на стол
10,мать суп из кастрюли вылила
11,я отошел от школы
12,из воды показалась змея
13,я повернулся к школе
14,ко мне выбежал мальчик из-под стола
15,муса прошел через комнату
16,я повернулся к морю
17,я стою у школы
18,яблоко упало с дерева
19,мальчик под столом стоит
20,муха сидит под потолком
21,я посмотрел на стол
22,мать убрала хинкал со стола
23,я стою за стеной
24,тарелка упала вниз со стола и разбилась
25,я матрас у стены постелил
26,я шкаф у стены поставил
27,у нее красивое кольцо на пальце
28,у стены шкаф
29,расул залез на крышу
30,от меня
31,мать поставилa на стол хинкал
32,у него крылья на спине
33,я стою за домом
34,птица взлетела с дерева
35,под столом мальчик стоит
36,я иду к школе
37,отойди от меняi
38,на стол тарелка упала
39,девочка с чердака слезла вниз
40,мама суп из кастрюли вылила
41,на столе стоит тарелка
42,мама в кастрюлю внутрь суп налила
43,картина висит на стене\
44,я сижу за столом
45,ложка в кастрюле
46,книга упала со стола
47,я стою перед домом
48,суп в кастрюле
49,я прошел мимо школы
50,гости сидят за столом
51,в воду не заходиi
52,постели мне матрас у стены
53,девочка щалезла на крышу
54,шкаф у стены
55,река внутри (из-под воды) змея видно
56,убежал от меня под стол
57,рыба в реке
58,на столе тарелка
59,муха сидит на потолке
60,мальчик от меня под стол уполз
